RespondentID,Support Region,Current Role,Current Role Other,Time with company,Supervisor,Supervise supervisors,Location,Location (Other),Customer service,Technological innovation,Market Leadership,Reliability,Performance,Quality,Global presence,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,Speed in delivery,Competitive pricing,Other,Q7. Other,What do you believe is the PRIMARY attribute that differentiates Exterran or makes us better than other companies in the industry?,Have you spoken with an Exterran customer or potential customer in the past 6 months?,Please tell us how strongly you agree or disagree with the following statement: I have the tools I need to talk about Exterran's advantages with customers and potential customers.,Talking points/messages,Print advertising,Video (mobile),PowerPoint Slides,Product brochures,Technical literature,Other,Reasons 1 Code,Reason 1 Translated,Reason 1 Code 1,Reason 1 Code 2,Reason 2 ,Reason 2 Translated,Reason 2 Code 1,Reason 2 Code 2,Reason 3,Reason 3 Translated,Reason 3 Code 1,Reason 3 Code 2,"In your experience, What do customers most frequently tell you is the main reason that they choose Exterran over other providers?",Otherpleasespecify_B,"In your opinion, If a customer does not choose Exterran, what is the main reason they are likely to choose another provider?",Q14 Translated,Q14 Code 1,Q14 Code 2,Q14 Code 3
2018219161,North America (NA Region),Sales/Business Development,,1 to 5 years,No,,"Denver, CO",,,Technological innovation,,,,,Global presence,,Experience in industry,,,,,,,Experience in industry,Yes,Strongly disagree,,,,,,,education on Exterrans advantages in my city and the acceptance from my supervisor to attend,We are global and practice Safety first,,Global support,Safety,we have been formed from 2 largests compression companies,,Large company,,we have some of the best people on staff in the industry,,Well-trained/qualified personnel,,Experienced workforce,,Delivery & simply not able to give customers the product they need that goes with the economy.,,Delivery,Availability,
2053870274,Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,Yes,Yes,Nigeria,,,,,Reliability,,,Global presence,Reputation,Experience in industry,Expertise of people,,Speed in delivery,,,,Global presence,Yes,Somewhat agree,,,,PowerPoint Slides,Product brochures,,,We have a global presence,,Global support,,We have Experienced personel.,,Experience/industry knowledge,,We have Readily available solutions,,Offers solutions to any problem,,Technical competence,,Pricing.,,Price,,
2008724429,Eastern Hemisphere (EH Region),Field Operations,,6 to 10 years,Yes,No,"Zapata, TX",Bahrain,,,,Reliability,Performance,,,,,Expertise of people,,Speed in delivery,,,,Technological innovatin,Yes,Somewhat agree,,,,,,,SOP'S,We give importance to QHSE,,Safety,,We have most experienced people,,Experience/industry knowledge,,We have most reliable performance,,Always get job done/Reliable,,Quality,,Price,,Price,,
2090788804,North America (NA Region),Sales/Business Development,,More than 10 years,No,,"Wray, CO",,Customer service,,,,Performance,,Global presence,,,,Breadth and scale of offerings,,,,,Market leadership,Yes,Somewhat agree,,,,,Product brochures,Technical literature,"customer promotional items (hats, Koozies, pen's, etc,,)",best field service in their area of operations,,Technical experts,,we monitor and quantify performance of our operations FST's,,Well-trained/qualified personnel,,we have largest equipment inventory & best availability in industry,,Large inventory/fleet,,Quality,,price & delivery ...good relationship with competition,,Price,Delivery,Previous Relationship with Competitor
2007241791,Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,,,,Market Leadership,,,,,,,,,,,,,Market leadership,Yes,Strongly Agree,Talking points/messages,,,,,,,we give great turn around response to customer needs.,,Timely delivery,,we have good customer service when we are problem solving issues.,,Customer service focused,,we have great competitive prices.,,Best Price/Competitive Price,,Quality,,account managers response time is an issue.,,Poor communications,,
2091174661,North America (NA Region),Field Operations,,Less than 1 year,No,,"Pampa, TX",,Customer service,,,,Performance,Quality,,Reputation,Experience in industry,Expertise of people,,,,,,Reputation,Yes,Somewhat disagree,Talking points/messages,,,,,Technical literature,,"For one, most of the customer units are Exterran Packages",,Range of products,,We have good quality field techs,,Technical experts,,We have good factory support,,Other,,Quality,,"In my experience as a field tech, not just with Exterran but with other companies, I have learned it is all about reputation.  When it comes down to it, the last thing it falls on is price.  Customers want thier equipment repaired correctly.  With every company there is a bad apple in the bunch.  When that bad apple does poor quality work to our customers, the only thing that a customer remembers is the big Exterran sign on the service truck.  So customers will choose another provider over one bad apple.  Happens everytime...",,Reputation,Price,
2007204622,Operations Services Group (OSG),Engineering,,1 to 5 years,No,,Houston - Brittmoore,,,,Market Leadership,Reliability,,,,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,Speed in delivery,,,,Competitive pricing,Yes,Somewhat agree,Talking points/messages,,,,,,,We have expertise,,Experience/industry knowledge,,We have good people,,Well-trained/qualified personnel,,We have good customer service,,Customer service focused,,Price,,"Price, speed, quality/customer service",,Price,Delivery,Customer Service
2008808923,Eastern Hemisphere (EH Region),Sales/Business Development,,More than 10 years,No,,UAE,,,,,,,,Global presence,,Experience in industry,Expertise of people,Breadth and scale of offerings,,,,,Customer service,Yes,Somewhat agree,,,,,,,,We offer excellent service,,Customer service focused,,Broad range of products,,Range of products,,We have excellent quality,,Quality,,Breadth of offering,Local presence,Price,,Price,,
2090750656,North America (NA Region),Sales/Business Development,,More than 10 years,No,,"Bakersfield, CA",,Customer service,,,,,,Global presence,Reputation,Experience in industry,Expertise of people,,,,,,Reputation,Yes,Strongly Agree,,,,,,,,We package and we have local support in the area,,Global support,,We put our employees thru extensive training regularly,,Well-trained/qualified personnel,,We have an outstanding safety record.,,Safety,,Service,,pricing or availability,,Price,Delivery,
2007265101,North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Corpus Christi, TX",,Customer service,,,,,,Global presence,,Experience in industry,,,,,,,Customer service,Yes,Strongly Agree,,Print advertising,,,,,,We have personnel in the area's we service.,,Global support,,We have parts support in key locations.,,Global support,,We have an experienced crew of Field Service Techs.,,Technical experts,,Quality,,Availability of equipment and pricing.,,Price,Availability,
