Location role supports,Primary Role,Primary Role (other),Time with company,Supervise one or more person,Supervise other supervisors,Location,Location (Other)
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,"Kilgore, TX",
North America (NA Region),Sales/Business Development,,1 to 5 years,Yes,,,
Corporate Services Group (CSG),Corporate/Office/Administration,,More than 10 years,No,,Houston - Greenspoint North,
Operations Services Group (OSG),Fabrication/Shop,,More than 10 years,Yes,No,Houston - Brittmoore,
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Brenham, TX",
North America (NA Region),Corporate/Office/Administration,Buyer,More than 10 years,No,,"Broken Arrow, OK",
North America (NA Region),Sales/Business Development,,1 to 5 years,No,,"Sheridan, WY",
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Brenham, TX",
Corporate Services Group (CSG),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Fabrication/Shop,,1 to 5 years,Yes,Yes,"Broken Arrow, OK",
Latin American (LA Region),Field Operations,,6 to 10 years,Yes,No,Argentina,
North America (NA Region),Field Operations,,6 to 10 years,No,,"Brookwood, AL",
North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Kilgore, TX",
North America (NA Region),Sales/Business Development,,1 to 5 years,No,,"Wexford, PA",
Latin American (LA Region),Corporate/Office/Administration,,6 to 10 years,Yes,No,Colombia,
Operations Services Group (OSG),Field Operations,,More than 10 years,No,,Thailand,"Chevron ,Funan-Exterran"
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,"Wray, CO",
Operations Services Group (OSG),Fabrication/Shop,,1 to 5 years,Yes,Yes,Houston - Brittmoore,
North America (NA Region),Corporate/Office/Administration,,More than 10 years,No,,Houston - Brittmoore,
North America (NA Region),Corporate/Office/Administration,,6 to 10 years,Yes,No,Greenspoint South,
North America (NA Region),Field Operations,,1 to 5 years,No,,"Brookwood, AL",
North America (NA Region),Engineering,Have an applications engineering title but doing many sales oriented and business development tasks.,1 to 5 years,No,,"Houma, LA",
Eastern Hemisphere (EH Region),Engineering,,6 to 10 years,Yes,No,United Kingdom,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Brittmoore,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Brittmoore,
Eastern Hemisphere (EH Region),Field Operations,,More than 10 years,Yes,Yes,Nigeria,
Corporate Services Group (CSG),Corporate/Office/Administration,,6 to 10 years,Yes,No,Houston - Greenspoint North,
North America (NA Region),Field Operations,Training field operations,More than 10 years,No,,"Pocola, OK",
North America (NA Region),Corporate/Office/Administration,,More than 10 years,Yes,No,Houston - Greenspoint North,
Operations Services Group (OSG),Corporate/Office/Administration,,Less than 1 year,No,,Houston - Greenspoint North,
North America (NA Region),Engineering,,6 to 10 years,No,,"Columbus, TX",
Latin American (LA Region),Corporate/Office/Administration,,More than 10 years,Yes,No,Argentina,
North America (NA Region),Corporate/Office/Administration,,More than 10 years,Yes,Yes,"Fort Worth, TX",
Latin American (LA Region),Field Operations,,6 to 10 years,Yes,No,Mexico,
Corporate Services Group (CSG),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Field Operations,,More than 10 years,No,,"Arcadia, LA",
North America (NA Region),Engineering,,1 to 5 years,No,,Colombia,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,"Broken Arrow, OK",
Latin American (LA Region),Corporate/Office/Administration,,1 to 5 years,No,,Mexico,
Latin American (LA Region),Engineering,,More than 10 years,No,,Argentina,
North America (NA Region),Corporate/Office/Administration,,More than 10 years,Yes,Yes,Greenspoint South,
Latin American (LA Region),Field Operations,,More than 10 years,No,,Argentina,
North America (NA Region),Sales/Business Development,,1 to 5 years,No,,"Midland, TX",
Latin American (LA Region),,InstalaçÜo das estaç_es,6 to 10 years,No,,Brazil,sao bernardo
North America (NA Region),Corporate/Office/Administration,parts,6 to 10 years,No,,"Gaylord, MI",
Corporate Services Group (CSG),Corporate/Office/Administration,Accounting,6 to 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Fabrication/Shop,,1 to 5 years,Yes,No,"Broken Arrow, OK",
Corporate Services Group (CSG),Corporate/Office/Administration,,Less than 1 year,No,,Houston - Greenspoint North,
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
North America (NA Region),Fabrication/Shop,,More than 10 years,Yes,Yes,"Wray, CO",
Latin American (LA Region),Field Operations,,More than 10 years,Yes,Yes,Chile,
Latin American (LA Region),Field Operations,,6 to 10 years,No,,Argentina,
North America (NA Region),Sales/Business Development,,1 to 5 years,No,,"Broken Arrow, OK",
North America (NA Region),Sales/Business Development,,6 to 10 years,No,,"Pampa, TX",
Latin American (LA Region),,Area Suministros/Inventario - Neuquen -Argentina,6 to 10 years,No,,Argentina,
North America (NA Region),Field Operations,,6 to 10 years,Yes,No,"Zapata, TX","Woodville, TX"
Latin American (LA Region),Sales/Business Development,,More than 10 years,Yes,Yes,Argentina,
North America (NA Region),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Brittmoore,
North America (NA Region),Field Operations,,1 to 5 years,No,,Canada,
Operations Services Group (OSG),Sales/Business Development,,1 to 5 years,No,,"Broken Arrow, OK",
Eastern Hemisphere (EH Region),Engineering,,Less than 1 year,No,,UAE,
North America (NA Region),Corporate/Office/Administration,,More than 10 years,Yes,No,"Davis, Ok",
North America (NA Region),Corporate/Office/Administration,"Accounting/Broussard, La",6 to 10 years,No,,"Broussard, LA",
North America (NA Region),Corporate/Office/Administration,,6 to 10 years,No,,"Fort Worth, TX",
Latin American (LA Region),Field Operations,,6 to 10 years,No,,Brazil,p15
Latin American (LA Region),Field Operations,,More than 10 years,No,,"Bakersfield, CA",
Operations Services Group (OSG),Corporate/Office/Administration,,1 to 5 years,Yes,No,Greenspoint South,
North America (NA Region),Corporate/Office/Administration,Transportation,More than 10 years,No,,Houston - Brittmoore,
North America (NA Region),Engineering,,6 to 10 years,No,,"Broken Arrow, OK",
North America (NA Region),Sales/Business Development,,6 to 10 years,No,,"Broussard, LA",
Operations Services Group (OSG),Fabrication/Shop,,More than 10 years,Yes,No,Houston - Brittmoore,
North America (NA Region),Engineering,,1 to 5 years,No,,Houston - Brittmoore,
All regions/functions (executive),Sales/Business Development,,More than 10 years,No,,"Broken Arrow, OK",
North America (NA Region),Field Operations,,More than 10 years,No,,"Broussard, LA",
All regions/functions (executive),Corporate/Office/Administration,,1 to 5 years,Yes,Yes,Houston - Greenspoint North,
North America (NA Region),Engineering,,Less than 1 year,No,,"Columbus, TX",
North America (NA Region),Corporate/Office/Administration,,Less than 1 year,No,,Houston - Brittmoore,
North America (NA Region),Fabrication/Shop,warehouse,Less than 1 year,No,,Houston - NHR,
Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,Yes,Yes,Nigeria,
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Broussard, LA",
North America (NA Region),Fabrication/Shop,,More than 10 years,Yes,Yes,Houston - Brittmoore,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,"Fort Worth, TX",
All regions/functions (executive),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Sales/Business Development,,1 to 5 years,No,,"Farmington, NM",
North America (NA Region),Sales/Business Development,,More than 10 years,No,,"Broken Arrow, OK",
North America (NA Region),Engineering,,More than 10 years,No,,Houston - Brittmoore,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,"Victoria, TX",
North America (NA Region),Field Operations,VEHICLE MANAGEMENT,More than 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Fabrication/Shop,,1 to 5 years,No,,"Midland, TX",
All regions/functions (executive),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
North America (NA Region),Engineering,,More than 10 years,No,,Houston - Brittmoore,
North America (NA Region),Fabrication/Shop,,More than 10 years,No,,"Kilgore, TX",
North America (NA Region),Field Operations,,1 to 5 years,Yes,Yes,"Broken Arrow, OK",
North America (NA Region),Corporate/Office/Administration,,Less than 1 year,No,,"Denver, CO",
Corporate Services Group (CSG),Corporate/Office/Administration,,More than 10 years,Yes,Yes,Houston - Greenspoint North,
Latin American (LA Region),Field Operations,,6 to 10 years,Yes,No,Argentina,
North America (NA Region),Field Operations,,1 to 5 years,Yes,No,Greenspoint South,
North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Broussard, LA",
North America (NA Region),Fabrication/Shop,,More than 10 years,Yes,No,"Farmington, NM",
Operations Services Group (OSG),Corporate/Office/Administration,,More than 10 years,Yes,,,
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,Yes,No,Houston - Greenspoint North,
Latin American (LA Region),Corporate/Office/Administration,,1 to 5 years,Yes,No,Brazil,
Latin American (LA Region),Fabrication/Shop,,6 to 10 years,Yes,No,Brazil,
Eastern Hemisphere (EH Region),Corporate/Office/Administration,,Less than 1 year,No,,Nigeria,
Latin American (LA Region),Sales/Business Development,,6 to 10 years,No,,Argentina,Neuquen
North America (NA Region),Fabrication/Shop,,6 to 10 years,No,,"Troy, PA",
North America (NA Region),Fabrication/Shop,,More than 10 years,Yes,No,"Broken Arrow, OK",
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
North America (NA Region),Fabrication/Shop,,More than 10 years,No,,Houston - Brittmoore,
North America (NA Region),Sales/Business Development,,More than 10 years,Yes,No,"Zapata, TX",Continental US
All regions/functions (executive),Corporate/Office/Administration,,Less than 1 year,No,,Houston - Greenspoint North,
North America (NA Region),Corporate/Office/Administration,Parts Department,1 to 5 years,No,,"Wray, CO",
North America (NA Region),Corporate/Office/Administration,Environmental,1 to 5 years,No,,"Denver, CO",
Operations Services Group (OSG),Fabrication/Shop,,6 to 10 years,No,,"Zapata, TX",Brittmoore
Corporate Services Group (CSG),Corporate/Office/Administration,,More than 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Field Operations,,6 to 10 years,Yes,Yes,"Corpus Christi, TX",
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,"Belle Chasse, LA",
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
Operations Services Group (OSG),Sales/Business Development,,More than 10 years,Yes,No,"Broken Arrow, OK",
North America (NA Region),Engineering,,6 to 10 years,Yes,No,"Broken Arrow, OK",
North America (NA Region),Engineering,,More than 10 years,No,,"Broken Arrow, OK",
Corporate Services Group (CSG),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Greenspoint North,
All regions/functions (executive),Fabrication/Shop,,6 to 10 years,Yes,Yes,Houston - Brittmoore,
North America (NA Region),Field Operations,,6 to 10 years,Yes,No,"Denver, CO",
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
North America (NA Region),Corporate/Office/Administration,,More than 10 years,Yes,Yes,Greenspoint South,
Operations Services Group (OSG),Field Operations,,More than 10 years,Yes,No,"Farmington, NM",
Corporate Services Group (CSG),Corporate/Office/Administration,Collections,1 to 5 years,No,,Houston - Greenspoint North,
North America (NA Region),Field Operations,,More than 10 years,No,,"Lakewood, NY",
North America (NA Region),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Greenspoint North,
Eastern Hemisphere (EH Region),Engineering,,1 to 5 years,Yes,Yes,United Kingdom,
North America (NA Region),Corporate/Office/Administration,,Less than 1 year,No,,Greenspoint South,
North America (NA Region),Fabrication/Shop,,6 to 10 years,Yes,Yes,"Farmington, NM",
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,Yes,No,Houston - Greenspoint North,
Operations Services Group (OSG),Corporate/Office/Administration,Construction and Commissioning,Less than 1 year,Yes,Yes,UAE,
Latin American (LA Region),Field Operations,,1 to 5 years,No,,Brazil,
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Shreveport, LA",
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,Yes,No,"Jasper, TX",
North America (NA Region),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Fabrication/Shop,,More than 10 years,No,,"McPherson, KS",
North America (NA Region),Field Operations,AMS,6 to 10 years,Yes,Yes,"Pampa, TX",
North America (NA Region),Corporate/Office/Administration,,More than 10 years,No,,"Pocola, OK",
North America (NA Region),Fabrication/Shop,,1 to 5 years,Yes,Yes,"Columbus, TX",
North America (NA Region),Corporate/Office/Administration,,6 to 10 years,No,,"Casper, WY",
All regions/functions (executive),Corporate/Office/Administration,,Less than 1 year,Yes,Yes,Houston - Greenspoint North,
North America (NA Region),Field Operations,,1 to 5 years,No,,"Lakewood, NY",
All regions/functions (executive),Corporate/Office/Administration,,Less than 1 year,No,,Houston - Greenspoint North,
North America (NA Region),Field Operations,,Less than 1 year,No,,Houston - Brittmoore,
North America (NA Region),Field Operations,,1 to 5 years,No,,"Roosevelt, UT",
